Category ID	Category Name	Number	Name	Year Released	Weight (in Grams)	Dimensions
179	Racers / Ferrari	8362-1	Ferrari F1 Racer 1:24	2004	31	28.5 x 19 x 5.8
179	Racers / Ferrari	8386-1	Ferrari F1 Racer 1:10	2004	211	57.6 x 38.5 x 7
36	Technic / Model / Race	3057-1	Create 'n' Race - Master Builders (Masterbuilders)	2000	?	30 x 29 x 4.3
473	Sports / Hockey	3557-1	Blue Player & Goal	2003	4.4	9.5 x 14.3 x 3.8
473	Sports / Hockey	3558-1	Red Player & Goal	2003	4.88	9.5 x 14.3 x 3.8
473	Sports / Hockey	3559-1	Red & Blue Player	2003	4.24	14.4 x 9.5 x 3.7
277	LEGOLAND / Building	00-4	Weetabix Promotional Windmill	1976	17	19.2 x 9.1 x 4.8
516	4 Juniors / Pirates	7070-1	Catapult Raft	2004	6.56	14.4 x 14.4 x 4.8
516	4 Juniors / Pirates	7071-1	Treasure Island	2004	7	19 x 14.3 x 4.6
516	4 Juniors / Pirates	7072-1	Captain Kragg's Pirate Boat	2004	10	19 x 28.5 x 4.7
516	4 Juniors / Pirates	7075-1	Captain Redbeard's Pirate Ship	2004	35	57.5 x 38.5 x 11
516	4 Juniors / Pirates	7074-1	Skull Island	2004	36	38.2 x 28.5 x 6
179	Racers / Ferrari	8375-1	Ferrari F1 Pit Set	2004	120	38.2 x 28.4 x 5.7
623	X-Pod	4346-1	Robo Pod blister pack	2004	13	11.2 x 15.5 x 6.1
623	X-Pod	4347-1	Auto Pod blister pack	2004	11	11.2 x 15.5 x 6.1
623	X-Pod	4348-1	Aero Pod blister pack	2004	11	11.2 x 15.5 x 6.1
623	X-Pod	4349-1	Wild Pod blister pack	2004	14	11.2 x 15.5 x 6.1
490	Clikits	7514-1	Sweet Dreamy Jewels	2004	7.06	18 x 21.5 x 5.5
490	Clikits	7515-1	Striped Sunny Jewels	2004	7.11	17.8 x 21 x 5.8
490	Clikits	7516-1	Cool Starry Jewels	2004	7.36	18 x 18 x 5.9
124	Train / 12V	723-2	Diesel Locomotive with DB Sticker	1974	5	? x ? x ?
124	Train / 9V	10020-2	Santa Fe Super Chief, Limited Edition	2002	82	29 x 19 x 7.3
473	Sports / Soccer	3422-2	Shoot 'n' Save (FC Bayern Promo Edition)	2003	32	? x ? x ?
473	Sports / Soccer	3420-2	Championship Challenge II {FC Bayern Edition}	2003	?	? x ? x ?
227	Harry Potter / Prisoner of Azkaban / Train / 9V	10132-1	Motorized Hogwarts Express	2004	153	57 x 37 x 9
227	Harry Potter / Prisoner of Azkaban	4755-1	Knight Bus	2004	34	28.5 x 28.5 x 7
227	Harry Potter / Prisoner of Azkaban	4753-1	Sirius Black's Escape	2004	36	19 x 28.5 x 5.9
227	Harry Potter / Prisoner of Azkaban	4752-1	Professor Lupin's Classroom	2004	28	28.5 x 19 x 5.9
36	Technic / Model / Traffic	8436-1	Truck	2004	455	48 x 38.5 x 11.5
36	Technic / Model / Off-Road	8435-1	4WD	2004	450	48 x 29 x 9.8
36	Technic / Model / Airport	8434-1	Aircraft	2004	175	38 x 28.5 x 5.8
36	Technic / Model / Traffic	8433-1	Cool Movers	2004	127.6	28 x 19 x 5
171	Creator / Basic Set	4496-1	Fun With Building	2004	34.5	36 x 25 x 23
486	Designer Sets / Harbor	4505-1	Sea Machines	2004	35	14 x 19 x 5
486	Designer Sets / Creature	4506-1	Deep Sea Predators	2004	151	28.5 x 28.5 x 5.8
