Color ID	Color Name	RGB	Type	Parts	In Sets	Wanted	For Sale	Year From	Year To
61	Pearl Light Gold	E7AE5A	Pearl	13	7	500	71	2000	2005
66	Pearl Light Gray	ACB7C0	Pearl	505	766	1595	653	2000	2011
252	Pearl Red	E54952	Pearl	3	7	137	3	2003	2006
78	Pearl Sand Blue	868FAA	Pearl	44	23	321	48	2002	2005
243	Pearl Sand Purple	B5A1BA	Pearl	1	1	27			
119	Pearl Very Light Gray	D4D2CD	Pearl	21	17	463	42	2002	2005
83	Pearl White	FFFFFF	Pearl	3	7	519	14	2003	2006
249	Reddish Copper	D06926	Pearl	21	20	106	23	2017	2020
235	Reddish Gold	E7891B	Pearl	28	30	323	31	2003	2006
233	Satin Trans-Bright Green	7fe15b	Satin	11	18	161	13	2021	2025
229	Satin Trans-Brown	939484	Satin	7	12	140	12	2020	2023
228	Satin Trans-Clear	FFFFFF	Satin	25	112	207	29	2020	2025
232	Satin Trans-Dark Blue	1552e2	Satin	16	40	164	21	2021	2025
224	Satin Trans-Dark Pink	CE1d9b	Satin	20	51	135	18	2020	2025
223	Satin Trans-Light Blue	68BCC5	Satin	54	146	247	62	2020	2025
230	Satin Trans-Purple	8320B7	Satin	19	60	168	20	2020	2025
170	Satin Trans-Yellow	EBF72D	Satin	3	6	33	4	2024	2025
250	Metallic Copper	C58259	Metallic	6	14	324	9	2007	2012
65	Metallic Gold	B8860B	Metallic	122	352	1286	220	1997	2025
70	Metallic Green	bdb573	Metallic	31	10	471	37	2001	2005
67	Metallic Silver	C0C0C0	Metallic	209	808	2239	277	1957	2025
46	Glow In Dark Opaque	d4d5c9	Milky	89	89	474	103	1990	2011
118	Glow In Dark Trans	bdc6ad	Milky	17	23	372	20	2005	2011
159	Glow In Dark White	d9d9d9	Milky	87	114	720	101	2011	2025
60	Milky White	d4d3dd	Milky	26	146	621	65	1963	2008
101	Glitter Trans-Clear	b2adaa	Glitter	16	33	183	22	1999	2023
100	Glitter Trans-Dark Pink	CE1d9b	Glitter	12	40	166	18	1999	2024
162	Glitter Trans-Light Blue	68BCC5	Glitter	17	29	187	29	2015	2024
163	Glitter Trans-Neon Green	C0F500	Glitter	1	8	151	2	2015	2018
222	Glitter Trans-Orange	D04010	Glitter	1	1	129	2	2020	2020
